feature	Akkermansia	Alistipes	Anaerostipes	Anaerotruncus	Bacteroides	Barnesiella	Blautia	Butyricicoccus	Catabacter	Clostridium_sensu_stricto_1	Coprobacter	Coprococcus_2	Dielma	Eisenbergiella	Epulopiscium	Erysipelatoclostridium	Escherichia-Shigella	Eubacterium	Faecalibacterium	Flavonifractor	Fusicatenibacter	Halomonas	Holdemania	Hungatella	Lachnoclostridium	Lachnospiraceae_ND3007_group	Odoribacter	Parabacteroides	Paraprevotella	Roseburia	Ruminiclostridium_5	Ruminiclostridium_9	Ruminococcaceae_UCG-004	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Ruminococcus_2	Subdoligranulum	[Clostridium]_innocuum_group	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_fissicatena_group	[Eubacterium]_rectale_group	[Eubacterium]_xylanophilum_group	[Ruminococcus]_gauvreauii_group	[Ruminococcus]_gnavus_group	uncultured	uncultured_1	uncultured_2	uncultured_bacterium
A36	-4.2138007273302	-7.08707704233351	NA	NA	-0.285824304591149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.69851175441586	-7.1135492536947	NA	NA	-10.5465086609708	NA	NA	NA	-6.15419123819205	-9.86843675585817	NA	NA	-6.14051630129497	NA	NA	-11.283474255137	NA	NA	-9.40900513722087	NA	NA	NA	NA	-6.36064211565947	NA	-8.06108183380056	NA	NA	-9.16799703771708	-4.19955177159192	-7.82404263649972	-10.8684367558582	NA	NA
A37	-5.21681264472558	-7.30773518797178	NA	-10.3374825313658	-0.466989372428604	NA	-9.11509011002939	NA	NA	NA	NA	NA	-9.87805091272854	-10.5301276093082	NA	NA	-6.58705467739307	-5.95954902674973	NA	NA	NA	NA	-10.2220053139459	-6.08639467702892	-6.90007721905854	NA	NA	-2.72001506607164	NA	NA	NA	NA	NA	-6.7828936796882	NA	-9.63704281322474	NA	-6.58705467739307	-7.14765797248582	NA	NA	-9.2220053139459	NA	-9.56489302746891	NA	-7.7625736953086	-9.43059193575731	NA	NA
A39	-4.18723863181342	-5.31254685859305	NA	-10.2194374542016	NA	NA	-7.71693711367239	NA	NA	NA	NA	NA	-8.92993083700659	-7.70286192846067	NA	-5.1296191919531	-5.76000583556427	-5.74550626586916	NA	NA	NA	NA	-8.99704503286512	-6.32866652395633	-3.49000553272077	NA	NA	-0.644213378322066	NA	NA	NA	NA	NA	-6.2756202895947	NA	-6.17019393518172	NA	-5.47049921836929	-5.2652411438147	-10.6889227375028	NA	-6.28607464723186	NA	-6.89750935931421	NA	-9.43516614525701	NA	NA	NA
A111	-6.16516005327356	-7.02671328330442	NA	NA	-0.0919624538461135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.50274141247241	NA	NA	NA	NA	NA	NA	-7.84115763014834	NA	NA	NA	-7.2180119355393	NA	NA	NA	NA	NA	-8.64024493622235	NA	NA	NA	NA	-7.41373640641367	NA	-8.40145807663523	NA	NA	-7.69913862527591	-7.11417612455476	-9.96217303110971	-8.99869890713482	NA	NA
A13	-4.20867937855744	-5.85206885294311	NA	-8.13941671612032	-3.68517154419836	NA	-6.08813621117663	NA	NA	NA	NA	NA	-7.64587724316276	-6.87164439127987	NA	-6.96949171467801	-4.81369704207059	-5.04083049639827	NA	NA	NA	NA	-8.13941671612032	-6.57356303834687	-6.99502680678515	NA	NA	-0.93677732182395	NA	NA	-11.5799893075063	-7.7726343854487	NA	-5.43024218800162	NA	-4.12172918307945	NA	-3.83371493564755	-5.74348803978919	-9.17789086393496	NA	-5.62912101483719	NA	-7.8637822735069	NA	NA	-11.5799893075063	NA	NA
A14	-3.37164937329557	-3.61140295529346	NA	NA	-1.76580153099115	NA	NA	NA	NA	-7.60096120857181	NA	NA	NA	NA	-6.4940460046553	-6.90908350393414	-5.19287646993473	NA	NA	NA	NA	NA	NA	-3.61490039952968	-7.65754473693818	NA	-7.97947283182554	NA	NA	NA	-9.18592370929296	NA	-9.13147592527059	-4.20161480701243	NA	NA	NA	NA	-3.72020034478794	NA	-6.71643842599175	NA	NA	-5.77262126138487	-2.31461078393051	-5.63843591399047	-9.02838243230648	NA	-10.8863634274341
A16	-3.24592697793957	-6.53981413478084	NA	-10.1870609137563	-1.41014412882044	NA	-7.17649167204615	NA	NA	NA	NA	NA	-7.51963625284321	-7.88220633222792	NA	-9.41654275987911	-5.15817979376921	-5.58802322782346	NA	-9.68956125428553	NA	NA	-8.18706091375634	-3.74509320086053	-6.46074256378964	NA	NA	-2.51713374564004	NA	NA	-8.63066756523196	-7.35566051773209	NA	-7.76672911480799	NA	-10.4671688329491	NA	-3.69615106364588	-4.98681137545723	NA	NA	-6.82331264317435	NA	-6.97074300682958	NA	-5.68956125428553	-5.98450490807406	NA	NA
A17	-3.1840818014336	-6.34755466760966	NA	-9.17827358273277	-1.52578708781461	NA	-6.67819997959813	NA	NA	NA	NA	NA	-8.11773204079772	-8.09810323404879	NA	-8.78399464362073	-5.22807181585093	-5.88970408479184	NA	-8.95000459505966	NA	NA	-9.35336028929087	-4.41577289645943	-2.95275625532714	NA	NA	-3.25295228171707	NA	NA	-8.24146740921997	NA	NA	-6.67819997959813	NA	NA	-7.05016875698509	-3.56440520556524	-4.58304274655779	-9.17827358273277	NA	-6.67093197913409	NA	-6.84812498104044	NA	-6.64222068249256	-7.86461310382901	NA	NA
A18	-4.70945659149853	-5.11098982642762	NA	NA	-0.290150186495741	NA	NA	NA	NA	-8.3544438632919	NA	NA	NA	NA	-9.85694420382108	-6.00450139223494	-9.3264294871223	NA	NA	-12.4419067045422	NA	NA	NA	-5.30235535214345	-9.38301301548867	NA	-10.5674375866261	NA	NA	NA	-11.4419067045422	NA	-11.704941110376	-7.72308845708629	NA	NA	NA	NA	-6.31951007318251	NA	-8.6006044505613	NA	-6.12600239728265	-8.38301301548867	-5.52304346726764	-7.58392570941467	-10.2195142832058	NA	-11.0268692052634
A210	-2.83042175857399	-6.95828270044976	NA	NA	-1.60145890062928	NA	NA	NA	NA	-7.29270173952032	NA	NA	NA	NA	-7.50883517038509	-8.61462983440768	-4.19421187612096	NA	NA	NA	NA	NA	NA	-4.17240750580261	-6.94836723158468	NA	NA	NA	NA	NA	-8.11582397743624	NA	-8.16091186696478	-4.78063978584661	NA	NA	-9.23130119485618	NA	-4.70773923879916	NA	-6.57594936624362	NA	-6.10476878892724	-5.83898377207742	-2.01730594767691	-6.29898800236775	-8.11582397743624	NA	NA
A22	-4.23338393585541	-5.35034008220126	NA	-9.3567663513607	-2.16623614558919	NA	-7.17543658664613	NA	NA	NA	-10.4636815552772	NA	-8.704689654781	-7.42265428701715	NA	-9.99419627197599	-5.46021769997364	-5.20411934135022	NA	NA	NA	NA	-7.7547303372806	-6.33757278612738	-5.78908184207137	NA	NA	-1.18166239329094	NA	NA	-11.5791587726971	NA	NA	-5.39924968268221	NA	-4.79561481191061	NA	-4.12794766086481	-6.11972715405985	-11.8421931785309	-11.1641212734183	-6.05037910736911	-9.64055931736129	-7.91619375997471	NA	-9.11972715405985	-10.2572306778098	NA	NA
A24	-4.64313691016821	-6.46177175709181	-7.03882905972762	NA	-0.502470363384763	-8.57724897451175	-3.94166040072063	NA	NA	NA	NA	-11.9695663972905	NA	NA	NA	-12.9695663972905	-7.92517227793206	NA	-9.7996413958482	NA	NA	NA	NA	-7.24164594272731	-7.54330164258841	-7.21467889512704	-9.16221147523291	-4.95833914186726	-6.20138207251358	-5.12407634634613	-10.3846038965694	NA	-8.32571020751578	-7.18820668376585	NA	NA	NA	-5.48575062002625	-5.80969506051212	NA	-12.9695663972905	NA	NA	-6.92517227793206	NA	-9.51013477865321	-8.51013477865321	-8.26912667914942	-11.3846038965694
A26	-2.97002721789295	-5.521234119702	NA	-7.8710412471648	-3.14910846795607	NA	-6.00459157758478	NA	-12.6436307510617	-8.90666515689552	-9.9806657383393	NA	-8.55616790981139	-6.67400440010525	NA	-6.81074073689699	-5.29490259683065	-5.82345178864654	NA	-9.52815353364179	NA	-12.2285932517829	-8.67400440010525	-5.26569724644562	-3.86117850053606	NA	NA	-1.89041400188277	NA	NA	-9.70503129572587	NA	NA	-5.78564975593416	NA	-3.6001477116457	NA	-3.23919875193815	-4.93857440485027	-9.70503129572587	-8.61388340766768	-5.35822853219948	NA	-7.17331081628169	NA	-7.42123832972528	-11.6436307510617	NA	-11.9066651568955
A27	-3.61914382271753	-5.91860735407907	-6.30706006776696	NA	-0.797663125266454	-7.25923154267634	-3.88041838424733	NA	NA	NA	-10.1978309980122	-10.3233618800961	NA	-8.69533065748301	NA	-9.46086540384599	-7.25923154267634	NA	-10.612868497291	-9.61286849729104	-9.69533065748301	NA	NA	-5.92481250360578	-6.92481250360578	-6.7493704971959	-8.35652874403126	-4.89709712539396	-6.2989777214691	-4.96261453631817	-10.1978309980122	NA	-8.25923154267634	-6.78279349873335	NA	NA	NA	-4.7604256857049	-6.06854798106723	NA	-8.92481250360578	NA	NA	-5.52069865336317	NA	-8.1978309980122	-6.93730344778898	-6.94990348456861	-10.3233618800961
A33	-5.22464582715581	-6.12140472125446	-6.89333015377447	NA	-0.576344259241579	-8.16181898970037	-3.62266017859234	NA	NA	NA	-9.03628810761651	NA	NA	-11.0362881076165	NA	-6.72643284502972	-7.71436001272915	NA	-10.1618189897004	-11.2993225134503	-4.82035070841736	NA	NA	-7.09768865228065	-7.11345596813897	-8.92081089019657	-8.19498585363557	-6.29033373022305	-6.21185967219996	-7.06666175666003	-10.2993225134503	NA	-8.92081089019657	-7.24621117699074	NA	NA	-11.6212506083377	-4.76326961321009	-7.59888279530921	NA	-10.8138956862801	NA	NA	-5.28586025364374	NA	-9.62125060833767	-7.89333015377447	-8.00654076422246	-10.1618189897004
A35	-3.71325637431971	-5.88939320469529	NA	-7.90346838990701	-2.33093533872737	NA	-5.89641363237306	NA	-11.9909312311574	-7.29049151301626	-8.32796621843492	NA	-8.36644036624956	-7.48843089062817	NA	-5.10828818179551	-6.37622138704214	-5.98343669461043	NA	-9.99093123115735	NA	-9.57589373187851	-9.05233177582149	-5.40096804937783	-4.63925579287594	NA	NA	-1.28789284217093	NA	NA	-10.1164621132412	NA	NA	-6.63337922653927	NA	-4.9685634181289	NA	-4.61589179981043	-5.34227405511881	NA	-9.99093123115735	-6.19218943940446	NA	-7.21834172726042	NA	-7.84797327731531	-11.2539656369911	NA	NA
A38	-4.37854952458019	-5.82816017240646	-6.53669735824615	NA	-0.519209931517306	-7.48485842672653	-4.38843780894464	NA	NA	NA	-8.46798460816213	NA	NA	-10.8942493628642	NA	NA	-7.62746282216933	NA	NA	-10.7243243614219	NA	NA	NA	-6.63686152017158	-6.76496634591926	-7.96351202530134	-8.30928686214307	-4.82278700030761	-6.26489274278462	-5.29805960671982	-9.72432436142192	NA	-9.13936186070076	-7.82816017240646	NA	NA	NA	-5.48910789972789	-8.33966051118659	NA	-9.30928686214307	NA	NA	-6.22891344567905	NA	-8.89424936286423	-7.76496634591926	-6.7962172799037	NA
