"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Flavonifractor"	"patient_status"	"Control"	"patient_statusControl"	0.128648423457232	0	0.761035359544823	0.865762071520556	0.938778149841567	0.287998044677598	0.572563239068744	NA	"prevalence"	27	15
"[Eubacterium]_rectale_group"	"patient_status"	"Control"	"patient_statusControl"	-0.128648423457232	0	0.761035359544823	0.865762071520556	0.938778149841567	0.131298250256359	0.424834958516358	NA	"prevalence"	27	12
"Epulopiscium"	"patient_status"	"Control"	"patient_statusControl"	-0.0356233372981668	0.312414540857523	1.99178855313168	0.878878724401496	0.94165577614446	0.583039703028624	0.715466607349473	NA	"abundance"	27	4
"Anaerostipes"	"patient_status"	"Control"	"patient_statusControl"	-0.100201285626434	0	0.822362099681062	0.903021220258239	0.945022207246994	0.89279606157032	0.951021891672732	NA	"prevalence"	27	8
"[Eubacterium]_coprostanoligenes_group"	"patient_status"	"Control"	"patient_statusControl"	-0.100201285626435	0	0.822362099681062	0.903021220258239	0.945022207246994	0.603332468613936	0.721055877123972	NA	"prevalence"	27	8
"Roseburia"	"patient_status"	"Control"	"patient_statusControl"	0.351878060713328	0.312414540857523	0.630288488685591	0.955700279580125	0.982661772392781	0.938526454117063	0.954680218238389	NA	"abundance"	27	7
"Lachnoclostridium"	"patient_status"	"Control"	"patient_statusControl"	0.0651112413237734	0	1.32559451836108	0.960824844117386	0.982661772392781	0.954680218238389	0.954680218238389	NA	"prevalence"	27	25
"Ruminococcaceae_UCG-004"	"patient_status"	"Control"	"patient_statusControl"	0.312414540857523	0.312414540857523	0.827939456285465	1	1	0.540846647808848	0.715466607349473	NA	"abundance"	27	11
"[Eubacterium]_xylanophilum_group"	"patient_status"	"Control"	"patient_statusControl"	0.307902467655941	0.312414540857523	1.04643027837436	0.996765312657229	1	0.833614457007136	0.916924007161377	NA	"abundance"	27	7
"Catabacter"	"patient_status"	"Control"	"patient_statusControl"	-1.83986914083675	0	0.906939209567728	0.0424931750286488	0.332014457612988	0.00722993286938323	0.0885666776499445	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	9
"Faecalibacterium"	"patient_status"	"Control"	"patient_statusControl"	-1.69231827145063	0	0.841305380352128	0.0442685943483984	0.332014457612988	0.00157368052167373	0.0385551727810063	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	11
"Paraprevotella"	"patient_status"	"Control"	"patient_statusControl"	-0.730460748190426	0	0.794103326587403	0.357647989257379	0.656904470064574	0.00977040550783381	0.0957499739767714	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	10
"Coprobacter"	"patient_status"	"Control"	"patient_statusControl"	-0.128648423457232	0	0.761035359544823	0.865762071520556	0.938778149841567	0.000646897480698794	0.0316979765542409	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	12
"Butyricicoccus"	"patient_status"	"Control"	"patient_statusControl"	NA	NA	NA	NA	NA	0.169903605723575	0.424834958516358	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	27	3
"Clostridium_sensu_stricto_1"	"patient_status"	"Control"	"patient_statusControl"	NA	NA	NA	NA	NA	0.105720151765477	0.424834958516358	"No data points have the baseline factor level"	"abundance"	27	5
"Ruminococcaceae_UCG-014"	"patient_status"	"Control"	"patient_statusControl"	NA	NA	NA	NA	NA	0.0842244039724472	0.380322051757294	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	27	5
"uncultured_2"	"patient_status"	"Control"	"patient_statusControl"	NA	NA	NA	NA	NA	0.142951383577116	0.424834958516358	"No data points have the baseline factor level"	"abundance"	27	4
"Akkermansia"	"patient_status"	"Control"	"patient_statusControl"	NA	0	NA	NA	NA	0.498711386247392	0.715466607349473	"All logistic values are the same"	"prevalence"	27	27
"Alistipes"	"patient_status"	"Control"	"patient_statusControl"	NA	0	NA	NA	NA	0.842073067801265	0.916924007161377	"All logistic values are the same"	"prevalence"	27	27
"Hungatella"	"patient_status"	"Control"	"patient_statusControl"	NA	0	NA	NA	NA	0.500295258210389	0.715466607349473	"All logistic values are the same"	"prevalence"	27	27
"Ruminococcaceae_UCG-013"	"patient_status"	"Control"	"patient_statusControl"	NA	0	NA	NA	NA	0.381979644960683	0.668464378681196	"All logistic values are the same"	"prevalence"	27	27
